Автомобильн.промышл.|Автомобилестроение (продукт: АБС предназначена для управления тормозной системой автомобиля состоит из каланов управления и блока управления)|2016|100%|0%
Автомобильн.промышл.|Машиностроение/автокомпоненты (продукт:раздаточнвя коробка двух скоростная с межосевых блокируемым дифференциалом с возможностью установки дополнительного 100% отбора мощности с заднего горца от первичного вала)|2017|100%|0%
Автомобильн.промышл.|Машиностроение/автостроение Продукт: гидромеханическая коробка пердач (ГМЛ)с автоматическим электронно-гидравлическим управлением.|2017|100%|0%
Автомобильн.промышл.|Машиностроение/автостроение (продукт: коробка пердач механическая. 6-ступенчатая, с ручным управлением.|2017|100%|0%
Автомобильн.промышл.|Автомобильные газонаполнительные компрессорные станции (АГНКС) РМ блочно-контейнерного исполнения. Поршневой газовый компрессор высокого давления. Автоматический блок осушки природного газа Блок аккумуляторов газа.|2017|90%|20%
Автомобильн.промышл.|Узел учета природного газа Система автоматического управления. Специальный контейнер для размещения газового оборудования АГНКС.|||
Автомобильн.промышл.|Гильзы цилиндров, Поршни.|2021|100%|70%
Автомобильн.промышл.|Код продукции по ОКВЭД 34.30.11 (части для поршневых двигателей внутреннего сгорания с искровым зажиганием кроме частей для авиационных двигателей)|||
Автомобильн.промышл.|Двигатели внутреннего сгорания|2015|100%|0%
Автомобильн.промышл.|система топливоподачи для дизельных двигателей аккумуляторного типа с электроуправляемыми гидроприводными форсунками с рабочим названием «А1(ау Соштоп КаЙ Зувфт» (далее - АСК8),|2016|100%|0%
Автомобильн.промышл.|Освоение синхронизаторов на КПП|2020|100%|0%
Автомобильн.промышл.|Г идропневматическая подвеска|2020|100%|0%
Автомобильн.промышл.|Резино-кордная оболочка (пневморессора)|2020|100%|0%
Автомобильн.промышл.|Поворотные оси|2020|100%|20%
Автомобильн.промышл.|Рулевое управление|2020|100%|0%
Автомобильн.промышл.|Подвеска|2020|100%|0%
Автомобильн.промышл.|муфта вязкостная электронно-управляемая привода вентилятора евро-4|2016|100%|0%
Автомобильн.промышл.|ТСУ тяжелой и легкой серий|2016|100%|0%
